Размер квадрата: 1000
Средняя длина трубки: 100
Количество трубок: 1000
Количество испытаний: 1
***************************
Испытание 1
***************************
      x|      y|      k|
190.407|422.538|101.055|
540.735|138.631|91.2507|
857.076|501.058|102.197|
271.144|870.945|93.1104|
 11.917|339.032|102.274|
845.243|408.709|103.901|
389.179|544.069|108.658|
130.185|671.997|93.5238|
151.055|558.166|100.272|
593.958|631.513|105.517|
78.7603|956.276|106.277|
201.852|116.945|100.268|
446.257|94.1753|96.3953|
746.581|272.245|95.6364|
816.672|99.7315|95.0042|
511.214|354.146|103.221|
786.051|6.74069|91.3598|
566.303|47.9256|101.162|
272.042|949.296|105.174|
745.837|42.9971|96.1584|
186.516|708.072|94.8327|
731.523|260.804|92.5794|
673.418|404.324|98.4457|
596.875|791.429|99.5523|
636.758|246.039|95.0038|
541.017| 558.42|100.464|
496.814|304.726|97.6827|
118.483|158.697|102.477|
301.765|419.676|102.953|
258.403|348.652| 95.546|
801.527|408.526|98.3873|
280.774|922.465| 90.006|
682.716|106.373|106.931|
739.178|858.031|93.4349|
4.23209|354.133|107.415|
151.723|219.144|92.8086|
863.949|427.639|98.4233|
248.946|186.787|91.6093|
90.3898|994.624|103.716|
145.963|335.805|94.7691|
603.834|614.585|105.883|
135.611|919.638|90.3165|
752.155|108.034|95.3524|
118.083|630.122| 104.86|
270.634|410.269|107.698|
808.942|656.605|94.4075|
813.939|736.193|103.444|
952.081|218.805|100.744|
989.373|988.854|92.0738|
396.249|423.901|92.1396|
575.758|999.461| 93.159|
734.976|581.964|108.202|
461.989| 308.56|102.694|
673.855|46.9511|98.2016|
189.429|39.0953|90.5104|
558.264|834.566| 92.254|
577.684|479.363|97.9497|
178.687|297.529|94.8041|
21.3806|901.819|98.6678|
559.113| 30.614|95.0363|
544.184|480.179|100.269|
475.493|986.148|101.754|
285.335|663.467| 99.081|
633.123|566.543|102.636|
305.799|935.831|99.8894|
 430.18|690.723|97.1845|
146.962| 433.33|92.0346|
635.551| 208.87| 109.74|
 698.06|444.651|92.6511|
    916|159.282|98.4123|
158.925|647.111| 94.224|
176.523|757.638|93.2891|
633.652|488.241|96.4678|
13.6977|97.0302|95.7919|
648.748|964.322|98.2249|
851.958|430.915|106.415|
519.406| 958.55|93.1506|
328.202|311.085|104.332|
745.195|163.935|98.1327|
875.926|811.191|104.435|
201.595|99.5043|96.5474|
702.783|270.046|107.775|
51.1535|409.516|96.2682|
250.933|669.387|106.332|
429.609|945.398|100.996|
596.752|93.7129| 93.437|
782.554|183.116|96.2784|
667.396|824.523|108.988|
786.961|394.873|106.072|
586.363|548.951|101.324|
422.592|172.749|96.5951|
 330.82|714.083|90.5635|
679.902|249.478|  104.4|
581.802|343.839| 90.372|
653.519|577.013|101.242|
966.997|641.835|90.9782|
